question,answer
"radius: 10.0, y_0: 400.75, t_1: 10.0,",153.25
"radius: 10.0, y_0: 521.4, t_1: 10.0,",273.9
"radius: 10.0, y_0: 461.03, t_1: 10.0,",213.53
"radius: 10.0, y_0: 393.94, t_1: 10.0,",146.44
"radius: 10.0, y_0: 344.01, t_1: 10.0,",96.51
"radius: 10.0, y_0: 404.3, t_1: 10.0,",156.8
"radius: 10.0, y_0: 494.16, t_1: 10.0,",246.66
"radius: 10.0, y_0: 353.73, t_1: 10.0,",106.23
"radius: 10.0, y_0: 614.56, t_1: 10.0,",367.06
"radius: 10.0, y_0: 722.29, t_1: 10.0,",474.79
"radius: 10.0, y_0: 296.53, t_1: 10.0,",49.03
"radius: 10.0, y_0: 483.29, t_1: 10.0,",235.79
"radius: 10.0, y_0: 324.93, t_1: 10.0,",77.43
"radius: 10.0, y_0: 287.24, t_1: 10.0,",39.74
"radius: 10.0, y_0: 540.05, t_1: 10.0,",292.55
"radius: 10.0, y_0: 506.86, t_1: 10.0,",259.36
