question,answer
"radius: 10.0, y_0: 361.4, t_1: 18.0,",10.0
"radius: 10.0, y_0: 645.41, t_1: 3.4,",617.36
"radius: 10.0, y_0: 675.13, t_1: 15.4,",86.08
"radius: 10.0, y_0: 478.87, t_1: 16.7,",10.0
"radius: 10.0, y_0: 609.8, t_1: 2.8,",590.9
"radius: 10.0, y_0: 640.48, t_1: 4.4,",593.18
"radius: 10.0, y_0: 743.86, t_1: 17.5,",10.0
"radius: 10.0, y_0: 624.66, t_1: 1.3,",620.76
"radius: 10.0, y_0: 698.34, t_1: 19.5,",10.0
"radius: 10.0, y_0: 330.08, t_1: 17.5,",10.0
"radius: 10.0, y_0: 431.53, t_1: 19.2,",10.0
"radius: 10.0, y_0: 712.81, t_1: 18.5,",10.0
"radius: 10.0, y_0: 654.63, t_1: 15.5,",57.88
"radius: 10.0, y_0: 328.16, t_1: 16.9,",10.0
"radius: 10.0, y_0: 543.91, t_1: 15.3,",10.0
"radius: 10.0, y_0: 311.84, t_1: 16.0,",10.0
