question,answer
"radius: 10.0, y_0: 500.0, t_1: 8.9,",304.2
"radius: 10.0, y_0: 500.0, t_1: 10.0,",252.5
"radius: 10.0, y_0: 500.0, t_1: 7.9,",345.95
"radius: 10.0, y_0: 500.0, t_1: 8.2,",333.95
"radius: 10.0, y_0: 500.0, t_1: 11.2,",189.2
"radius: 10.0, y_0: 500.0, t_1: 12.9,",87.2
"radius: 10.0, y_0: 500.0, t_1: 13.9,",20.45
"radius: 10.0, y_0: 500.0, t_1: 9.4,",281.45
"radius: 10.0, y_0: 500.0, t_1: 10.1,",247.5
"radius: 10.0, y_0: 500.0, t_1: 6.0,",411.5
"radius: 10.0, y_0: 500.0, t_1: 13.7,",34.2
"radius: 10.0, y_0: 500.0, t_1: 5.1,",436.25
"radius: 10.0, y_0: 500.0, t_1: 11.9,",148.95
