shelf0_width: 150.0, shelf0_angle: -5.9, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 5.9, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 557.19, ball_y0: 857.26, elasticity: 0.5, t1: 20.0, ball_x1: 557.19, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -40.9, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 40.9, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 438.99, ball_y0: 947.39, elasticity: 0.5, t1: 20.0, ball_x1: 438.99, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -22.4, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 22.4, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 657.65, ball_y0: 957.29, elasticity: 0.5, t1: 20.0, ball_x1: 397.85, ans: 493.29
shelf0_width: 150.0, shelf0_angle: -18.5, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 18.5, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 367.02, ball_y0: 931.03, elasticity: 0.5, t1: 20.0, ball_x1: 531.46, ans: 566.81
shelf0_width: 150.0, shelf0_angle: -14.0, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 14.0, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 644.5, ball_y0: 908.46, elasticity: 0.5, t1: 20.0, ball_x1: 444.05, ans: 540.59
shelf0_width: 150.0, shelf0_angle: -33.1, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 33.1, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 479.0, ball_y0: 893.84, elasticity: 0.5, t1: 20.0, ball_x1: 479.0, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -17.1, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 17.1, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 586.61, ball_y0: 859.78, elasticity: 0.5, t1: 20.0, ball_x1: 505.08, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -34.7, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 34.7, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 354.57, ball_y0: 856.42, elasticity: 0.5, t1: 20.0, ball_x1: 670.43, ans: 392.81
shelf0_width: 150.0, shelf0_angle: -31.3, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 31.3, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 526.15, ball_y0: 978.7, elasticity: 0.5, t1: 20.0, ball_x1: 526.15, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -8.1, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 8.1, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 478.06, ball_y0: 978.14, elasticity: 0.5, t1: 20.0, ball_x1: 478.06, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -31.5, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 31.5, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 573.95, ball_y0: 902.28, elasticity: 0.5, t1: 20.0, ball_x1: 573.95, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -22.5, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 22.5, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 337.26, ball_y0: 917.03, elasticity: 0.5, t1: 20.0, ball_x1: 545.51, ans: 541.11
shelf0_width: 150.0, shelf0_angle: -35.1, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 35.1, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 552.63, ball_y0: 877.2, elasticity: 0.5, t1: 20.0, ball_x1: 552.63, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -43.9, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 43.9, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 343.48, ball_y0: 921.83, elasticity: 0.5, t1: 20.0, ball_x1: 678.5, ans: 328.21
shelf0_width: 150.0, shelf0_angle: -9.3, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 9.3, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 529.37, ball_y0: 971.11, elasticity: 0.5, t1: 20.0, ball_x1: 529.37, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -19.3, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 19.3, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 478.18, ball_y0: 875.07, elasticity: 0.5, t1: 20.0, ball_x1: 478.18, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -0.8, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 0.8, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 473.3, ball_y0: 965.95, elasticity: 0.5, t1: 20.0, ball_x1: 473.3, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -3.9, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 3.9, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 413.22, ball_y0: 843.94, elasticity: 0.5, t1: 20.0, ball_x1: 512.39, ans: 387.52
