shelf0_width,shelf0_angle,shelf0_x,shelf0_y,shelf1_width,shelf1_angle,shelf1_x,shelf1_y,radius,ball_x0,ball_y0,elasticity,t1,ball_x1,ball_y1
150.0,-5.9,333.0,500.0,150.0,5.9,667.0,500.0,10,557.19,857.26,0.5,20.0,557.19,10.0
150.0,-40.9,333.0,500.0,150.0,40.9,667.0,500.0,10,438.99,947.39,0.5,20.0,438.99,10.0
150.0,-22.4,333.0,500.0,150.0,22.4,667.0,500.0,10,657.65,957.29,0.5,20.0,397.85,493.29
150.0,-18.5,333.0,500.0,150.0,18.5,667.0,500.0,10,367.02,931.03,0.5,20.0,531.46,566.81
150.0,-14.0,333.0,500.0,150.0,14.0,667.0,500.0,10,644.5,908.46,0.5,20.0,444.05,540.59
150.0,-33.1,333.0,500.0,150.0,33.1,667.0,500.0,10,479.0,893.84,0.5,20.0,479.0,10.0
150.0,-17.1,333.0,500.0,150.0,17.1,667.0,500.0,10,586.61,859.78,0.5,20.0,505.08,10.0
150.0,-34.7,333.0,500.0,150.0,34.7,667.0,500.0,10,354.57,856.42,0.5,20.0,670.43,392.81
150.0,-31.3,333.0,500.0,150.0,31.3,667.0,500.0,10,526.15,978.7,0.5,20.0,526.15,10.0
150.0,-8.1,333.0,500.0,150.0,8.1,667.0,500.0,10,478.06,978.14,0.5,20.0,478.06,10.0
150.0,-31.5,333.0,500.0,150.0,31.5,667.0,500.0,10,573.95,902.28,0.5,20.0,573.95,10.0
150.0,-22.5,333.0,500.0,150.0,22.5,667.0,500.0,10,337.26,917.03,0.5,20.0,545.51,541.11
150.0,-35.1,333.0,500.0,150.0,35.1,667.0,500.0,10,552.63,877.2,0.5,20.0,552.63,10.0
150.0,-43.9,333.0,500.0,150.0,43.9,667.0,500.0,10,343.48,921.83,0.5,20.0,678.5,328.21
150.0,-9.3,333.0,500.0,150.0,9.3,667.0,500.0,10,529.37,971.11,0.5,20.0,529.37,10.0
150.0,-19.3,333.0,500.0,150.0,19.3,667.0,500.0,10,478.18,875.07,0.5,20.0,478.18,10.0
150.0,-0.8,333.0,500.0,150.0,0.8,667.0,500.0,10,473.3,965.95,0.5,20.0,473.3,10.0
150.0,-3.9,333.0,500.0,150.0,3.9,667.0,500.0,10,413.22,843.94,0.5,20.0,512.39,387.52
150.0,-9.8,333.0,500.0,150.0,9.8,667.0,500.0,10,473.55,964.45,0.5,20.0,473.55,10.0
150.0,-2.5,333.0,500.0,150.0,2.5,667.0,500.0,10,366.9,998.93,0.5,20.0,352.62,629.89
