shelf0_width: 150.0, shelf0_angle: -6.5, shelf0_x: 333.0, shelf0_y: 564.43, shelf1_width: 150.0, shelf1_angle: 6.5, shelf1_x: 667.0, shelf1_y: 564.43, radius: 10, ball_x0: 654.19, ball_y0: 992.53, elasticity: 0.5, t1: 20.0, ball_x1: 534.84, ans: 656.67
shelf0_width: 150.0, shelf0_angle: -19.1, shelf0_x: 333.0, shelf0_y: 505.44, shelf1_width: 150.0, shelf1_angle: 19.1, shelf1_x: 667.0, shelf1_y: 505.44, radius: 10, ball_x0: 598.88, ball_y0: 862.41, elasticity: 0.5, t1: 20.0, ball_x1: 359.13, ans: 520.52
shelf0_width: 150.0, shelf0_angle: -34.6, shelf0_x: 333.0, shelf0_y: 414.22, shelf1_width: 150.0, shelf1_angle: 34.6, shelf1_x: 667.0, shelf1_y: 414.22, radius: 10, ball_x0: 457.43, ball_y0: 866.42, elasticity: 0.5, t1: 20.0, ball_x1: 457.43, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -31.2, shelf0_x: 333.0, shelf0_y: 412.27, shelf1_width: 150.0, shelf1_angle: 31.2, shelf1_x: 667.0, shelf1_y: 412.27, radius: 10, ball_x0: 511.63, ball_y0: 881.85, elasticity: 0.5, t1: 20.0, ball_x1: 511.63, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -44.0, shelf0_x: 333.0, shelf0_y: 514.71, shelf1_width: 150.0, shelf1_angle: 44.0, shelf1_x: 667.0, shelf1_y: 514.71, radius: 10, ball_x0: 571.79, ball_y0: 983.15, elasticity: 0.5, t1: 20.0, ball_x1: 571.79, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -8.7, shelf0_x: 333.0, shelf0_y: 534.36, shelf1_width: 150.0, shelf1_angle: 8.7, shelf1_x: 667.0, shelf1_y: 534.36, radius: 10, ball_x0: 430.22, ball_y0: 916.06, elasticity: 0.5, t1: 20.0, ball_x1: 430.22, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -42.2, shelf0_x: 333.0, shelf0_y: 403.76, shelf1_width: 150.0, shelf1_angle: 42.2, shelf1_x: 667.0, shelf1_y: 403.76, radius: 10, ball_x0: 644.47, ball_y0: 809.75, elasticity: 0.5, t1: 20.0, ball_x1: 303.77, ans: 146.93
shelf0_width: 150.0, shelf0_angle: -12.7, shelf0_x: 333.0, shelf0_y: 478.57, shelf1_width: 150.0, shelf1_angle: 12.7, shelf1_x: 667.0, shelf1_y: 478.57, radius: 10, ball_x0: 560.78, ball_y0: 911.96, elasticity: 0.5, t1: 20.0, ball_x1: 560.78, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -19.7, shelf0_x: 333.0, shelf0_y: 564.2, shelf1_width: 150.0, shelf1_angle: 19.7, shelf1_x: 667.0, shelf1_y: 564.2, radius: 10, ball_x0: 454.64, ball_y0: 883.12, elasticity: 0.5, t1: 20.0, ball_x1: 454.64, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -37.9, shelf0_x: 333.0, shelf0_y: 522.57, shelf1_width: 150.0, shelf1_angle: 37.9, shelf1_x: 667.0, shelf1_y: 522.57, radius: 10, ball_x0: 626.02, ball_y0: 819.26, elasticity: 0.5, t1: 20.0, ball_x1: 261.29, ans: 236.75
shelf0_width: 150.0, shelf0_angle: -30.3, shelf0_x: 333.0, shelf0_y: 595.96, shelf1_width: 150.0, shelf1_angle: 30.3, shelf1_x: 667.0, shelf1_y: 595.96, radius: 10, ball_x0: 370.82, ball_y0: 849.19, elasticity: 0.5, t1: 20.0, ball_x1: 668.97, ans: 455.89
