shelf0_width,shelf0_angle,shelf0_x,shelf0_y,shelf1_width,shelf1_angle,shelf1_x,shelf1_y,radius,ball_x0,ball_y0,elasticity,t1,ball_x1,ball_y1
150.0,-6.5,333.0,564.43,150.0,6.5,667.0,564.43,10,654.19,992.53,0.5,20.0,534.84,656.67
150.0,-19.1,333.0,505.44,150.0,19.1,667.0,505.44,10,598.88,862.41,0.5,20.0,359.13,520.52
150.0,-34.6,333.0,414.22,150.0,34.6,667.0,414.22,10,457.43,866.42,0.5,20.0,457.43,10.0
150.0,-31.2,333.0,412.27,150.0,31.2,667.0,412.27,10,511.63,881.85,0.5,20.0,511.63,10.0
150.0,-44.0,333.0,514.71,150.0,44.0,667.0,514.71,10,571.79,983.15,0.5,20.0,571.79,10.0
150.0,-8.7,333.0,534.36,150.0,8.7,667.0,534.36,10,430.22,916.06,0.5,20.0,430.22,10.0
150.0,-42.2,333.0,403.76,150.0,42.2,667.0,403.76,10,644.47,809.75,0.5,20.0,303.77,146.93
150.0,-12.7,333.0,478.57,150.0,12.7,667.0,478.57,10,560.78,911.96,0.5,20.0,560.78,10.0
150.0,-19.7,333.0,564.2,150.0,19.7,667.0,564.2,10,454.64,883.12,0.5,20.0,454.64,10.0
150.0,-37.9,333.0,522.57,150.0,37.9,667.0,522.57,10,626.02,819.26,0.5,20.0,261.29,236.75
150.0,-30.3,333.0,595.96,150.0,30.3,667.0,595.96,10,370.82,849.19,0.5,20.0,668.97,455.89
150.0,-23.5,333.0,404.68,150.0,23.5,667.0,404.68,10,653.08,924.15,0.5,20.0,408.78,405.53
150.0,-17.2,333.0,444.4,150.0,17.2,667.0,444.4,10,389.16,994.08,0.5,20.0,516.02,535.51
150.0,-11.2,333.0,585.03,150.0,11.2,667.0,585.03,10,398.49,925.97,0.5,20.0,491.01,648.06
150.0,-40.8,333.0,522.86,150.0,40.8,667.0,522.86,10,616.7,886.39,0.5,20.0,270.55,245.57
150.0,-36.8,333.0,573.49,150.0,36.8,667.0,573.49,10,454.8,879.47,0.5,20.0,454.8,10.0
150.0,-30.5,333.0,579.32,150.0,30.5,667.0,579.32,10,577.23,842.12,0.5,20.0,577.23,10.0
150.0,-7.8,333.0,520.79,150.0,7.8,667.0,520.79,10,339.84,956.96,0.5,20.0,386.53,635.41
150.0,-32.0,333.0,472.09,150.0,32.0,667.0,472.09,10,371.53,873.25,0.5,20.0,615.2,470.69
150.0,-43.1,333.0,477.46,150.0,43.1,667.0,477.46,10,384.66,905.34,0.5,20.0,703.17,303.01
