question,answer
"shelf0_width: 150.0, shelf0_angle: -31.2, shelf0_x: 333.0, shelf0_y: 412.27, shelf1_width: 150.0, shelf1_angle: 31.2, shelf1_x: 667.0, shelf1_y: 412.27, radius: 10, ball_x0: 511.63, ball_y0: 881.85, elasticity: 0.5, t1: 20.0, ball_x1: 511.63,",10.0
"shelf0_width: 150.0, shelf0_angle: -30.3, shelf0_x: 333.0, shelf0_y: 595.96, shelf1_width: 150.0, shelf1_angle: 30.3, shelf1_x: 667.0, shelf1_y: 595.96, radius: 10, ball_x0: 370.82, ball_y0: 849.19, elasticity: 0.5, t1: 20.0, ball_x1: 668.97,",455.89
"shelf0_width: 150.0, shelf0_angle: -40.8, shelf0_x: 333.0, shelf0_y: 522.86, shelf1_width: 150.0, shelf1_angle: 40.8, shelf1_x: 667.0, shelf1_y: 522.86, radius: 10, ball_x0: 616.7, ball_y0: 886.39, elasticity: 0.5, t1: 20.0, ball_x1: 270.55,",245.57
"shelf0_width: 150.0, shelf0_angle: -23.5, shelf0_x: 333.0, shelf0_y: 404.68, shelf1_width: 150.0, shelf1_angle: 23.5, shelf1_x: 667.0, shelf1_y: 404.68, radius: 10, ball_x0: 653.08, ball_y0: 924.15, elasticity: 0.5, t1: 20.0, ball_x1: 408.78,",405.53
"shelf0_width: 150.0, shelf0_angle: -8.7, shelf0_x: 333.0, shelf0_y: 534.36, shelf1_width: 150.0, shelf1_angle: 8.7, shelf1_x: 667.0, shelf1_y: 534.36, radius: 10, ball_x0: 430.22, ball_y0: 916.06, elasticity: 0.5, t1: 20.0, ball_x1: 430.22,",10.0
"shelf0_width: 150.0, shelf0_angle: -32.0, shelf0_x: 333.0, shelf0_y: 472.09, shelf1_width: 150.0, shelf1_angle: 32.0, shelf1_x: 667.0, shelf1_y: 472.09, radius: 10, ball_x0: 371.53, ball_y0: 873.25, elasticity: 0.5, t1: 20.0, ball_x1: 615.2,",470.69
"shelf0_width: 150.0, shelf0_angle: -34.6, shelf0_x: 333.0, shelf0_y: 414.22, shelf1_width: 150.0, shelf1_angle: 34.6, shelf1_x: 667.0, shelf1_y: 414.22, radius: 10, ball_x0: 457.43, ball_y0: 866.42, elasticity: 0.5, t1: 20.0, ball_x1: 457.43,",10.0
"shelf0_width: 150.0, shelf0_angle: -37.9, shelf0_x: 333.0, shelf0_y: 522.57, shelf1_width: 150.0, shelf1_angle: 37.9, shelf1_x: 667.0, shelf1_y: 522.57, radius: 10, ball_x0: 626.02, ball_y0: 819.26, elasticity: 0.5, t1: 20.0, ball_x1: 261.29,",236.75
"shelf0_width: 150.0, shelf0_angle: -12.7, shelf0_x: 333.0, shelf0_y: 478.57, shelf1_width: 150.0, shelf1_angle: 12.7, shelf1_x: 667.0, shelf1_y: 478.57, radius: 10, ball_x0: 560.78, ball_y0: 911.96, elasticity: 0.5, t1: 20.0, ball_x1: 560.78,",10.0
"shelf0_width: 150.0, shelf0_angle: -11.2, shelf0_x: 333.0, shelf0_y: 585.03, shelf1_width: 150.0, shelf1_angle: 11.2, shelf1_x: 667.0, shelf1_y: 585.03, radius: 10, ball_x0: 398.49, ball_y0: 925.97, elasticity: 0.5, t1: 20.0, ball_x1: 491.01,",648.06
"shelf0_width: 150.0, shelf0_angle: -17.2, shelf0_x: 333.0, shelf0_y: 444.4, shelf1_width: 150.0, shelf1_angle: 17.2, shelf1_x: 667.0, shelf1_y: 444.4, radius: 10, ball_x0: 389.16, ball_y0: 994.08, elasticity: 0.5, t1: 20.0, ball_x1: 516.02,",535.51
"shelf0_width: 150.0, shelf0_angle: -43.1, shelf0_x: 333.0, shelf0_y: 477.46, shelf1_width: 150.0, shelf1_angle: 43.1, shelf1_x: 667.0, shelf1_y: 477.46, radius: 10, ball_x0: 384.66, ball_y0: 905.34, elasticity: 0.5, t1: 20.0, ball_x1: 703.17,",303.01
"shelf0_width: 150.0, shelf0_angle: -19.7, shelf0_x: 333.0, shelf0_y: 564.2, shelf1_width: 150.0, shelf1_angle: 19.7, shelf1_x: 667.0, shelf1_y: 564.2, radius: 10, ball_x0: 454.64, ball_y0: 883.12, elasticity: 0.5, t1: 20.0, ball_x1: 454.64,",10.0
"shelf0_width: 150.0, shelf0_angle: -19.1, shelf0_x: 333.0, shelf0_y: 505.44, shelf1_width: 150.0, shelf1_angle: 19.1, shelf1_x: 667.0, shelf1_y: 505.44, radius: 10, ball_x0: 598.88, ball_y0: 862.41, elasticity: 0.5, t1: 20.0, ball_x1: 359.13,",520.52
"shelf0_width: 150.0, shelf0_angle: -6.5, shelf0_x: 333.0, shelf0_y: 564.43, shelf1_width: 150.0, shelf1_angle: 6.5, shelf1_x: 667.0, shelf1_y: 564.43, radius: 10, ball_x0: 654.19, ball_y0: 992.53, elasticity: 0.5, t1: 20.0, ball_x1: 534.84,",656.67
"shelf0_width: 150.0, shelf0_angle: -44.0, shelf0_x: 333.0, shelf0_y: 514.71, shelf1_width: 150.0, shelf1_angle: 44.0, shelf1_x: 667.0, shelf1_y: 514.71, radius: 10, ball_x0: 571.79, ball_y0: 983.15, elasticity: 0.5, t1: 20.0, ball_x1: 571.79,",10.0
