shelf0_width,shelf0_angle,shelf0_x,shelf0_y,shelf1_width,shelf1_angle,shelf1_x,shelf1_y,radius,ball_x0,ball_y0,elasticity,t1,ball_x1,ball_y1
150.0,-30,333.0,505.23,150.0,30,667.0,505.23,10,423.55,857.57,0.5,20.0,423.55,10.0
150.0,-30,333.0,592.5,150.0,30,667.0,592.5,10,488.37,842.74,0.5,20.0,488.37,10.0
150.0,-30,333.0,460.3,150.0,30,667.0,460.3,10,657.23,908.56,0.5,20.0,351.68,373.07
150.0,-30,333.0,404.42,150.0,30,667.0,404.42,10,504.07,912.78,0.5,20.0,504.07,10.0
150.0,-30,333.0,545.82,150.0,30,667.0,545.82,10,549.52,829.97,0.5,20.0,549.52,10.0
150.0,-30,333.0,475.39,150.0,30,667.0,475.39,10,363.99,840.26,0.5,20.0,612.44,470.07
150.0,-30,333.0,441.49,150.0,30,667.0,441.49,10,417.95,881.51,0.5,20.0,417.95,10.0
150.0,-30,333.0,422.53,150.0,30,667.0,422.53,10,380.48,976.65,0.5,20.0,598.28,427.89
150.0,-30,333.0,402.94,150.0,30,667.0,402.94,10,402.58,804.82,0.5,20.0,631.54,413.29
150.0,-30,333.0,412.13,150.0,30,667.0,412.13,10,469.13,940.36,0.5,20.0,469.13,10.0
150.0,-30,333.0,513.77,150.0,30,667.0,513.77,10,449.95,803.19,0.5,20.0,449.95,10.0
150.0,-30,333.0,401.15,150.0,30,667.0,401.15,10,383.59,970.05,0.5,20.0,380.56,10.0
150.0,-30,333.0,533.61,150.0,30,667.0,533.61,10,360.03,998.69,0.5,20.0,614.02,523.52
150.0,-30,333.0,431.26,150.0,30,667.0,431.26,10,647.25,877.69,0.5,20.0,343.17,340.02
150.0,-30,333.0,572.35,150.0,30,667.0,572.35,10,593.06,884.58,0.5,20.0,593.06,10.0
150.0,-30,333.0,572.35,150.0,30,667.0,572.35,10,360.17,979.34,0.5,20.0,619.0,558.35
150.0,-30,333.0,596.53,150.0,30,667.0,596.53,10,633.17,888.51,0.5,20.0,291.14,407.49
150.0,-30,333.0,517.57,150.0,30,667.0,517.57,10,628.37,812.17,0.5,20.0,286.71,330.6
150.0,-30,333.0,511.61,150.0,30,667.0,511.61,10,596.34,812.3,0.5,20.0,237.23,131.42
150.0,-30,333.0,522.37,150.0,30,667.0,522.37,10,360.1,949.86,0.5,20.0,619.8,506.87
