question,answer
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 431.26, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 431.26, radius: 10, ball_x0: 647.25, ball_y0: 877.69, elasticity: 0.5, t1: 20.0, ball_x1: 343.17,",340.02
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 475.39, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 475.39, radius: 10, ball_x0: 363.99, ball_y0: 840.26, elasticity: 0.5, t1: 20.0, ball_x1: 612.44,",470.07
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 505.23, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 505.23, radius: 10, ball_x0: 423.55, ball_y0: 857.57, elasticity: 0.5, t1: 20.0, ball_x1: 423.55,",10.0
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 402.94, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 402.94, radius: 10, ball_x0: 402.58, ball_y0: 804.82, elasticity: 0.5, t1: 20.0, ball_x1: 631.54,",413.29
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 596.53, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 596.53, radius: 10, ball_x0: 633.17, ball_y0: 888.51, elasticity: 0.5, t1: 20.0, ball_x1: 291.14,",407.49
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 460.3, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 460.3, radius: 10, ball_x0: 657.23, ball_y0: 908.56, elasticity: 0.5, t1: 20.0, ball_x1: 351.68,",373.07
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 513.77, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 513.77, radius: 10, ball_x0: 449.95, ball_y0: 803.19, elasticity: 0.5, t1: 20.0, ball_x1: 449.95,",10.0
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 441.49, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 441.49, radius: 10, ball_x0: 417.95, ball_y0: 881.51, elasticity: 0.5, t1: 20.0, ball_x1: 417.95,",10.0
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 404.42, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 404.42, radius: 10, ball_x0: 504.07, ball_y0: 912.78, elasticity: 0.5, t1: 20.0, ball_x1: 504.07,",10.0
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 511.61, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 511.61, radius: 10, ball_x0: 596.34, ball_y0: 812.3, elasticity: 0.5, t1: 20.0, ball_x1: 237.23,",131.42
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 401.15, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 401.15, radius: 10, ball_x0: 383.59, ball_y0: 970.05, elasticity: 0.5, t1: 20.0, ball_x1: 380.56,",10.0
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 533.61, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 533.61, radius: 10, ball_x0: 360.03, ball_y0: 998.69, elasticity: 0.5, t1: 20.0, ball_x1: 614.02,",523.52
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 572.35, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 572.35, radius: 10, ball_x0: 593.06, ball_y0: 884.58, elasticity: 0.5, t1: 20.0, ball_x1: 593.06,",10.0
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 592.5, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 592.5, radius: 10, ball_x0: 488.37, ball_y0: 842.74, elasticity: 0.5, t1: 20.0, ball_x1: 488.37,",10.0
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 545.82, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 545.82, radius: 10, ball_x0: 549.52, ball_y0: 829.97, elasticity: 0.5, t1: 20.0, ball_x1: 549.52,",10.0
"shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 422.53, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 422.53, radius: 10, ball_x0: 380.48, ball_y0: 976.65, elasticity: 0.5, t1: 20.0, ball_x1: 598.28,",427.89
