shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 614.3, ball_y0: 940.78, elasticity: 0.5, t1: 20.5, ball_x1: 292.87, ans: 378.59
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 649.43, ball_y0: 940.28, elasticity: 0.5, t1: 24.3, ball_x1: 142.95, ans: 226.32
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 407.19, ball_y0: 940.66, elasticity: 0.5, t1: 16.7, ball_x1: 459.97, ans: 262.49
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 364.59, ball_y0: 961.85, elasticity: 0.5, t1: 21.0, ball_x1: 633.58, ans: 507.4
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 368.58, ball_y0: 932.69, elasticity: 0.5, t1: 24.3, ball_x1: 660.03, ans: 557.92
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 414.6, ball_y0: 866.16, elasticity: 0.5, t1: 24.5, ball_x1: 414.6, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 572.63, ball_y0: 837.27, elasticity: 0.5, t1: 17.5, ball_x1: 572.63, ans: 78.94
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 462.99, ball_y0: 873.08, elasticity: 0.5, t1: 19.7, ball_x1: 462.99, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 542.74, ball_y0: 876.91, elasticity: 0.5, t1: 24.0, ball_x1: 542.74, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 539.57, ball_y0: 898.4, elasticity: 0.5, t1: 16.7, ball_x1: 539.57, ans: 210.9
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 359.77, ball_y0: 844.19, elasticity: 0.5, t1: 20.8, ball_x1: 606.28, ans: 509.97
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 643.48, ball_y0: 848.41, elasticity: 0.5, t1: 21.0, ball_x1: 269.51, ans: 313.0
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 637.86, ball_y0: 919.55, elasticity: 0.5, t1: 22.5, ball_x1: 212.92, ans: 297.73
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 557.96, ball_y0: 885.07, elasticity: 0.5, t1: 15.7, ball_x1: 557.96, ans: 277.99
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 347.34, ball_y0: 851.9, elasticity: 0.5, t1: 18.7, ball_x1: 585.95, ans: 473.79
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 447.48, ball_y0: 961.83, elasticity: 0.5, t1: 17.7, ball_x1: 447.48, ans: 188.91
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 443.34, ball_y0: 991.41, elasticity: 0.5, t1: 20.3, ball_x1: 443.34, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 659.43, ball_y0: 823.29, elasticity: 0.5, t1: 23.5, ball_x1: 183.26, ans: 163.37
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 469.03, ball_y0: 991.23, elasticity: 0.5, t1: 21.7, ball_x1: 469.03, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -30, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 30, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 665.63, ball_y0: 943.85, elasticity: 0.5, t1: 16.2, ball_x1: 532.99, ans: 495.21
