shelf0_width,shelf0_angle,shelf0_x,shelf0_y,shelf1_width,shelf1_angle,shelf1_x,shelf1_y,radius,ball_x0,ball_y0,elasticity,t1,ball_x1,ball_y1
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,614.3,940.78,0.5,20.5,292.87,378.59
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,649.43,940.28,0.5,24.3,142.95,226.32
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,407.19,940.66,0.5,16.7,459.97,262.49
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,364.59,961.85,0.5,21.0,633.58,507.4
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,368.58,932.69,0.5,24.3,660.03,557.92
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,414.6,866.16,0.5,24.5,414.6,10.0
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,572.63,837.27,0.5,17.5,572.63,78.94
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,462.99,873.08,0.5,19.7,462.99,10.0
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,542.74,876.91,0.5,24.0,542.74,10.0
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,539.57,898.4,0.5,16.7,539.57,210.9
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,359.77,844.19,0.5,20.8,606.28,509.97
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,643.48,848.41,0.5,21.0,269.51,313.0
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,637.86,919.55,0.5,22.5,212.92,297.73
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,557.96,885.07,0.5,15.7,557.96,277.99
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,347.34,851.9,0.5,18.7,585.95,473.79
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,447.48,961.83,0.5,17.7,447.48,188.91
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,443.34,991.41,0.5,20.3,443.34,10.0
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,659.43,823.29,0.5,23.5,183.26,163.37
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,469.03,991.23,0.5,21.7,469.03,10.0
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,665.63,943.85,0.5,16.2,532.99,495.21
