shelf0_width: 150.0, shelf0_angle: -6.0, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 6.0, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 592.56, ball_y0: 846.34, elasticity: 0.5, t1: 22.2, ball_x1: 438.84, ans: 515.8
shelf0_width: 150.0, shelf0_angle: -9.3, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 9.3, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 613.71, ball_y0: 984.49, elasticity: 0.5, t1: 24.8, ball_x1: 362.8, ans: 530.13
shelf0_width: 150.0, shelf0_angle: -1.9, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 1.9, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 475.68, ball_y0: 925.26, elasticity: 0.5, t1: 22.3, ball_x1: 475.68, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -40.3, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 40.3, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 403.02, ball_y0: 818.49, elasticity: 0.5, t1: 17.7, ball_x1: 403.75, ans: 45.43
shelf0_width: 150.0, shelf0_angle: -40.3, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 40.3, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 565.35, ball_y0: 988.53, elasticity: 0.5, t1: 22.8, ball_x1: 565.35, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -0.7, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 0.7, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 596.07, ball_y0: 918.83, elasticity: 0.5, t1: 23.0, ball_x1: 519.72, ans: 573.06
shelf0_width: 150.0, shelf0_angle: -6.7, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 6.7, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 495.47, ball_y0: 914.77, elasticity: 0.5, t1: 18.8, ball_x1: 495.47, ans: 35.88
shelf0_width: 150.0, shelf0_angle: -41.7, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 41.7, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 389.28, ball_y0: 824.4, elasticity: 0.5, t1: 21.0, ball_x1: 780.23, ans: 233.11
shelf0_width: 150.0, shelf0_angle: -17.4, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 17.4, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 445.72, ball_y0: 959.92, elasticity: 0.5, t1: 19.5, ball_x1: 445.72, ans: 17.42
shelf0_width: 150.0, shelf0_angle: -42.8, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 42.8, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 585.7, ball_y0: 982.85, elasticity: 0.5, t1: 23.0, ball_x1: 585.7, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -0.9, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 0.9, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 482.79, ball_y0: 890.8, elasticity: 0.5, t1: 23.8, ball_x1: 482.79, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -14.7, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 14.7, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 591.82, ball_y0: 874.22, elasticity: 0.5, t1: 15.7, ball_x1: 465.32, ans: 340.21
shelf0_width: 150.0, shelf0_angle: -28.3, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 28.3, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 366.99, ball_y0: 864.58, elasticity: 0.5, t1: 24.8, ball_x1: 646.45, ans: 539.56
shelf0_width: 150.0, shelf0_angle: -33.2, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 33.2, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 409.16, ball_y0: 901.96, elasticity: 0.5, t1: 24.0, ball_x1: 409.31, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -15.1, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 15.1, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 522.76, ball_y0: 949.74, elasticity: 0.5, t1: 23.7, ball_x1: 522.76, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -22.2, shelf0_x: 333.0, shelf0_y: 500.0, shelf1_width: 150.0, shelf1_angle: 22.2, shelf1_x: 667.0, shelf1_y: 500.0, radius: 10, ball_x0: 595.01, ball_y0: 827.58, elasticity: 0.5, t1: 21.3, ball_x1: 185.59, ans: 210.36
