shelf0_width,shelf0_angle,shelf0_x,shelf0_y,shelf1_width,shelf1_angle,shelf1_x,shelf1_y,radius,ball_x0,ball_y0,elasticity,t1,ball_x1,ball_y1
150.0,-6.0,333.0,500.0,150.0,6.0,667.0,500.0,10,592.56,846.34,0.5,22.2,438.84,515.8
150.0,-9.3,333.0,500.0,150.0,9.3,667.0,500.0,10,613.71,984.49,0.5,24.8,362.8,530.13
150.0,-1.9,333.0,500.0,150.0,1.9,667.0,500.0,10,475.68,925.26,0.5,22.3,475.68,10.0
150.0,-40.3,333.0,500.0,150.0,40.3,667.0,500.0,10,403.02,818.49,0.5,17.7,403.75,45.43
150.0,-40.3,333.0,500.0,150.0,40.3,667.0,500.0,10,565.35,988.53,0.5,22.8,565.35,10.0
150.0,-0.7,333.0,500.0,150.0,0.7,667.0,500.0,10,596.07,918.83,0.5,23.0,519.72,573.06
150.0,-6.7,333.0,500.0,150.0,6.7,667.0,500.0,10,495.47,914.77,0.5,18.8,495.47,35.88
150.0,-41.7,333.0,500.0,150.0,41.7,667.0,500.0,10,389.28,824.4,0.5,21.0,780.23,233.11
150.0,-17.4,333.0,500.0,150.0,17.4,667.0,500.0,10,445.72,959.92,0.5,19.5,445.72,17.42
150.0,-42.8,333.0,500.0,150.0,42.8,667.0,500.0,10,585.7,982.85,0.5,23.0,585.7,10.0
150.0,-0.9,333.0,500.0,150.0,0.9,667.0,500.0,10,482.79,890.8,0.5,23.8,482.79,10.0
150.0,-14.7,333.0,500.0,150.0,14.7,667.0,500.0,10,591.82,874.22,0.5,15.7,465.32,340.21
150.0,-28.3,333.0,500.0,150.0,28.3,667.0,500.0,10,366.99,864.58,0.5,24.8,646.45,539.56
150.0,-33.2,333.0,500.0,150.0,33.2,667.0,500.0,10,409.16,901.96,0.5,24.0,409.31,10.0
150.0,-15.1,333.0,500.0,150.0,15.1,667.0,500.0,10,522.76,949.74,0.5,23.7,522.76,10.0
150.0,-22.2,333.0,500.0,150.0,22.2,667.0,500.0,10,595.01,827.58,0.5,21.3,185.59,210.36
150.0,-33.8,333.0,500.0,150.0,33.8,667.0,500.0,10,466.86,890.37,0.5,21.8,466.86,10.0
150.0,-30.7,333.0,500.0,150.0,30.7,667.0,500.0,10,660.84,831.47,0.5,21.0,279.12,292.83
150.0,-34.0,333.0,500.0,150.0,34.0,667.0,500.0,10,478.06,918.72,0.5,22.0,478.06,10.0
150.0,-14.7,333.0,500.0,150.0,14.7,667.0,500.0,10,615.92,874.07,0.5,20.8,380.6,500.4
