shelf0_width: 150.0, shelf0_angle: -41.5, shelf0_x: 333.0, shelf0_y: 441.91, shelf1_width: 150.0, shelf1_angle: 41.5, shelf1_x: 667.0, shelf1_y: 441.91, radius: 10, ball_x0: 448.29, ball_y0: 954.99, elasticity: 0.5, t1: 19.2, ball_x1: 448.29, ans: 44.57
shelf0_width: 150.0, shelf0_angle: -21.8, shelf0_x: 333.0, shelf0_y: 473.03, shelf1_width: 150.0, shelf1_angle: 21.8, shelf1_x: 667.0, shelf1_y: 473.03, radius: 10, ball_x0: 596.7, ball_y0: 942.61, elasticity: 0.5, t1: 20.8, ball_x1: 337.54, ans: 494.92
shelf0_width: 150.0, shelf0_angle: -12.5, shelf0_x: 333.0, shelf0_y: 400.96, shelf1_width: 150.0, shelf1_angle: 12.5, shelf1_x: 667.0, shelf1_y: 400.96, radius: 10, ball_x0: 350.56, ball_y0: 847.98, elasticity: 0.5, t1: 24.8, ball_x1: 521.54, ans: 435.82
shelf0_width: 150.0, shelf0_angle: -10.6, shelf0_x: 333.0, shelf0_y: 568.98, shelf1_width: 150.0, shelf1_angle: 10.6, shelf1_x: 667.0, shelf1_y: 568.98, radius: 10, ball_x0: 348.36, ball_y0: 999.35, elasticity: 0.5, t1: 23.3, ball_x1: 466.17, ans: 638.03
shelf0_width: 150.0, shelf0_angle: -6.8, shelf0_x: 333.0, shelf0_y: 413.29, shelf1_width: 150.0, shelf1_angle: 6.8, shelf1_x: 667.0, shelf1_y: 413.29, radius: 10, ball_x0: 401.4, ball_y0: 826.61, elasticity: 0.5, t1: 24.5, ball_x1: 459.58, ans: 451.49
shelf0_width: 150.0, shelf0_angle: -25.9, shelf0_x: 333.0, shelf0_y: 493.29, shelf1_width: 150.0, shelf1_angle: 25.9, shelf1_x: 667.0, shelf1_y: 493.29, radius: 10, ball_x0: 342.73, ball_y0: 877.63, elasticity: 0.5, t1: 19.3, ball_x1: 566.95, ans: 503.83
shelf0_width: 150.0, shelf0_angle: -10.7, shelf0_x: 333.0, shelf0_y: 505.44, shelf1_width: 150.0, shelf1_angle: 10.7, shelf1_x: 667.0, shelf1_y: 505.44, radius: 10, ball_x0: 438.72, ball_y0: 988.84, elasticity: 0.5, t1: 17.2, ball_x1: 438.72, ans: 259.26
shelf0_width: 150.0, shelf0_angle: -31.0, shelf0_x: 333.0, shelf0_y: 472.44, shelf1_width: 150.0, shelf1_angle: 31.0, shelf1_x: 667.0, shelf1_y: 472.44, radius: 10, ball_x0: 625.34, ball_y0: 807.88, elasticity: 0.5, t1: 19.0, ball_x1: 330.23, ans: 337.68
shelf0_width: 150.0, shelf0_angle: -31.9, shelf0_x: 333.0, shelf0_y: 463.46, shelf1_width: 150.0, shelf1_angle: 31.9, shelf1_x: 667.0, shelf1_y: 463.46, radius: 10, ball_x0: 490.13, ball_y0: 856.38, elasticity: 0.5, t1: 22.5, ball_x1: 490.13, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -18.6, shelf0_x: 333.0, shelf0_y: 433.28, shelf1_width: 150.0, shelf1_angle: 18.6, shelf1_x: 667.0, shelf1_y: 433.28, radius: 10, ball_x0: 623.66, ball_y0: 808.61, elasticity: 0.5, t1: 19.2, ball_x1: 403.41, ans: 432.18
shelf0_width: 150.0, shelf0_angle: -12.9, shelf0_x: 333.0, shelf0_y: 430.44, shelf1_width: 150.0, shelf1_angle: 12.9, shelf1_x: 667.0, shelf1_y: 430.44, radius: 10, ball_x0: 480.47, ball_y0: 896.94, elasticity: 0.5, t1: 21.0, ball_x1: 480.47, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -16.3, shelf0_x: 333.0, shelf0_y: 505.81, shelf1_width: 150.0, shelf1_angle: 16.3, shelf1_x: 667.0, shelf1_y: 505.81, radius: 10, ball_x0: 640.7, ball_y0: 936.49, elasticity: 0.5, t1: 19.0, ball_x1: 456.33, ans: 545.33
shelf0_width: 150.0, shelf0_angle: -1.7, shelf0_x: 333.0, shelf0_y: 468.16, shelf1_width: 150.0, shelf1_angle: 1.7, shelf1_x: 667.0, shelf1_y: 468.16, radius: 10, ball_x0: 609.53, ball_y0: 870.8, elasticity: 0.5, t1: 22.5, ball_x1: 520.35, ans: 538.29
shelf0_width: 150.0, shelf0_angle: -30.9, shelf0_x: 333.0, shelf0_y: 504.7, shelf1_width: 150.0, shelf1_angle: 30.9, shelf1_x: 667.0, shelf1_y: 504.7, radius: 10, ball_x0: 571.25, ball_y0: 831.56, elasticity: 0.5, t1: 17.2, ball_x1: 571.25, ans: 101.98
shelf0_width: 150.0, shelf0_angle: -41.5, shelf0_x: 333.0, shelf0_y: 405.97, shelf1_width: 150.0, shelf1_angle: 41.5, shelf1_x: 667.0, shelf1_y: 405.97, radius: 10, ball_x0: 496.46, ball_y0: 805.09, elasticity: 0.5, t1: 24.5, ball_x1: 496.46, ans: 10.0
shelf0_width: 150.0, shelf0_angle: -12.4, shelf0_x: 333.0, shelf0_y: 570.18, shelf1_width: 150.0, shelf1_angle: 12.4, shelf1_x: 667.0, shelf1_y: 570.18, radius: 10, ball_x0: 630.84, ball_y0: 810.13, elasticity: 0.5, t1: 19.3, ball_x1: 443.02, ans: 529.61
shelf0_width: 150.0, shelf0_angle: -29.5, shelf0_x: 333.0, shelf0_y: 488.83, shelf1_width: 150.0, shelf1_angle: 29.5, shelf1_x: 667.0, shelf1_y: 488.83, radius: 10, ball_x0: 411.35, ball_y0: 952.05, elasticity: 0.5, t1: 21.3, ball_x1: 411.54, ans: 10.0
