shelf0_width,shelf0_angle,shelf0_x,shelf0_y,shelf1_width,shelf1_angle,shelf1_x,shelf1_y,radius,ball_x0,ball_y0,elasticity,t1,ball_x1,ball_y1
150.0,-41.5,333.0,441.91,150.0,41.5,667.0,441.91,10,448.29,954.99,0.5,19.2,448.29,44.57
150.0,-21.8,333.0,473.03,150.0,21.8,667.0,473.03,10,596.7,942.61,0.5,20.8,337.54,494.92
150.0,-12.5,333.0,400.96,150.0,12.5,667.0,400.96,10,350.56,847.98,0.5,24.8,521.54,435.82
150.0,-10.6,333.0,568.98,150.0,10.6,667.0,568.98,10,348.36,999.35,0.5,23.3,466.17,638.03
150.0,-6.8,333.0,413.29,150.0,6.8,667.0,413.29,10,401.4,826.61,0.5,24.5,459.58,451.49
150.0,-25.9,333.0,493.29,150.0,25.9,667.0,493.29,10,342.73,877.63,0.5,19.3,566.95,503.83
150.0,-10.7,333.0,505.44,150.0,10.7,667.0,505.44,10,438.72,988.84,0.5,17.2,438.72,259.26
150.0,-31.0,333.0,472.44,150.0,31.0,667.0,472.44,10,625.34,807.88,0.5,19.0,330.23,337.68
150.0,-31.9,333.0,463.46,150.0,31.9,667.0,463.46,10,490.13,856.38,0.5,22.5,490.13,10.0
150.0,-18.6,333.0,433.28,150.0,18.6,667.0,433.28,10,623.66,808.61,0.5,19.2,403.41,432.18
150.0,-12.9,333.0,430.44,150.0,12.9,667.0,430.44,10,480.47,896.94,0.5,21.0,480.47,10.0
150.0,-16.3,333.0,505.81,150.0,16.3,667.0,505.81,10,640.7,936.49,0.5,19.0,456.33,545.33
150.0,-1.7,333.0,468.16,150.0,1.7,667.0,468.16,10,609.53,870.8,0.5,22.5,520.35,538.29
150.0,-30.9,333.0,504.7,150.0,30.9,667.0,504.7,10,571.25,831.56,0.5,17.2,571.25,101.98
150.0,-41.5,333.0,405.97,150.0,41.5,667.0,405.97,10,496.46,805.09,0.5,24.5,496.46,10.0
150.0,-12.4,333.0,570.18,150.0,12.4,667.0,570.18,10,630.84,810.13,0.5,19.3,443.02,529.61
150.0,-29.5,333.0,488.83,150.0,29.5,667.0,488.83,10,411.35,952.05,0.5,21.3,411.54,10.0
150.0,-30.7,333.0,436.79,150.0,30.7,667.0,436.79,10,400.74,862.56,0.5,19.2,620.85,423.63
150.0,-3.8,333.0,532.05,150.0,3.8,667.0,532.05,10,442.89,969.87,0.5,18.0,442.89,167.37
150.0,-13.5,333.0,546.17,150.0,13.5,667.0,546.17,10,456.87,838.41,0.5,20.2,456.87,10.0
