question,answer
"shelf0_width: 150.0, shelf0_angle: -25.9, shelf0_x: 333.0, shelf0_y: 493.29, shelf1_width: 150.0, shelf1_angle: 25.9, shelf1_x: 667.0, shelf1_y: 493.29, radius: 10, ball_x0: 342.73, ball_y0: 877.63, elasticity: 0.5, t1: 19.3, ball_x1: 566.95,",503.83
"shelf0_width: 150.0, shelf0_angle: -41.5, shelf0_x: 333.0, shelf0_y: 405.97, shelf1_width: 150.0, shelf1_angle: 41.5, shelf1_x: 667.0, shelf1_y: 405.97, radius: 10, ball_x0: 496.46, ball_y0: 805.09, elasticity: 0.5, t1: 24.5, ball_x1: 496.46,",10.0
"shelf0_width: 150.0, shelf0_angle: -12.5, shelf0_x: 333.0, shelf0_y: 400.96, shelf1_width: 150.0, shelf1_angle: 12.5, shelf1_x: 667.0, shelf1_y: 400.96, radius: 10, ball_x0: 350.56, ball_y0: 847.98, elasticity: 0.5, t1: 24.8, ball_x1: 521.54,",435.82
"shelf0_width: 150.0, shelf0_angle: -12.4, shelf0_x: 333.0, shelf0_y: 570.18, shelf1_width: 150.0, shelf1_angle: 12.4, shelf1_x: 667.0, shelf1_y: 570.18, radius: 10, ball_x0: 630.84, ball_y0: 810.13, elasticity: 0.5, t1: 19.3, ball_x1: 443.02,",529.61
"shelf0_width: 150.0, shelf0_angle: -16.3, shelf0_x: 333.0, shelf0_y: 505.81, shelf1_width: 150.0, shelf1_angle: 16.3, shelf1_x: 667.0, shelf1_y: 505.81, radius: 10, ball_x0: 640.7, ball_y0: 936.49, elasticity: 0.5, t1: 19.0, ball_x1: 456.33,",545.33
"shelf0_width: 150.0, shelf0_angle: -10.7, shelf0_x: 333.0, shelf0_y: 505.44, shelf1_width: 150.0, shelf1_angle: 10.7, shelf1_x: 667.0, shelf1_y: 505.44, radius: 10, ball_x0: 438.72, ball_y0: 988.84, elasticity: 0.5, t1: 17.2, ball_x1: 438.72,",259.26
"shelf0_width: 150.0, shelf0_angle: -13.5, shelf0_x: 333.0, shelf0_y: 546.17, shelf1_width: 150.0, shelf1_angle: 13.5, shelf1_x: 667.0, shelf1_y: 546.17, radius: 10, ball_x0: 456.87, ball_y0: 838.41, elasticity: 0.5, t1: 20.2, ball_x1: 456.87,",10.0
"shelf0_width: 150.0, shelf0_angle: -41.5, shelf0_x: 333.0, shelf0_y: 441.91, shelf1_width: 150.0, shelf1_angle: 41.5, shelf1_x: 667.0, shelf1_y: 441.91, radius: 10, ball_x0: 448.29, ball_y0: 954.99, elasticity: 0.5, t1: 19.2, ball_x1: 448.29,",44.57
"shelf0_width: 150.0, shelf0_angle: -30.7, shelf0_x: 333.0, shelf0_y: 436.79, shelf1_width: 150.0, shelf1_angle: 30.7, shelf1_x: 667.0, shelf1_y: 436.79, radius: 10, ball_x0: 400.74, ball_y0: 862.56, elasticity: 0.5, t1: 19.2, ball_x1: 620.85,",423.63
"shelf0_width: 150.0, shelf0_angle: -21.8, shelf0_x: 333.0, shelf0_y: 473.03, shelf1_width: 150.0, shelf1_angle: 21.8, shelf1_x: 667.0, shelf1_y: 473.03, radius: 10, ball_x0: 596.7, ball_y0: 942.61, elasticity: 0.5, t1: 20.8, ball_x1: 337.54,",494.92
"shelf0_width: 150.0, shelf0_angle: -30.9, shelf0_x: 333.0, shelf0_y: 504.7, shelf1_width: 150.0, shelf1_angle: 30.9, shelf1_x: 667.0, shelf1_y: 504.7, radius: 10, ball_x0: 571.25, ball_y0: 831.56, elasticity: 0.5, t1: 17.2, ball_x1: 571.25,",101.98
"shelf0_width: 150.0, shelf0_angle: -6.8, shelf0_x: 333.0, shelf0_y: 413.29, shelf1_width: 150.0, shelf1_angle: 6.8, shelf1_x: 667.0, shelf1_y: 413.29, radius: 10, ball_x0: 401.4, ball_y0: 826.61, elasticity: 0.5, t1: 24.5, ball_x1: 459.58,",451.49
"shelf0_width: 150.0, shelf0_angle: -10.6, shelf0_x: 333.0, shelf0_y: 568.98, shelf1_width: 150.0, shelf1_angle: 10.6, shelf1_x: 667.0, shelf1_y: 568.98, radius: 10, ball_x0: 348.36, ball_y0: 999.35, elasticity: 0.5, t1: 23.3, ball_x1: 466.17,",638.03
"shelf0_width: 150.0, shelf0_angle: -31.0, shelf0_x: 333.0, shelf0_y: 472.44, shelf1_width: 150.0, shelf1_angle: 31.0, shelf1_x: 667.0, shelf1_y: 472.44, radius: 10, ball_x0: 625.34, ball_y0: 807.88, elasticity: 0.5, t1: 19.0, ball_x1: 330.23,",337.68
"shelf0_width: 150.0, shelf0_angle: -3.8, shelf0_x: 333.0, shelf0_y: 532.05, shelf1_width: 150.0, shelf1_angle: 3.8, shelf1_x: 667.0, shelf1_y: 532.05, radius: 10, ball_x0: 442.89, ball_y0: 969.87, elasticity: 0.5, t1: 18.0, ball_x1: 442.89,",167.37
"shelf0_width: 150.0, shelf0_angle: -18.6, shelf0_x: 333.0, shelf0_y: 433.28, shelf1_width: 150.0, shelf1_angle: 18.6, shelf1_x: 667.0, shelf1_y: 433.28, radius: 10, ball_x0: 623.66, ball_y0: 808.61, elasticity: 0.5, t1: 19.2, ball_x1: 403.41,",432.18
