shelf_width: 100.0, shelf_angle: 33.2, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 144.51, ans: 248.73
shelf_width: 100.0, shelf_angle: 15.6, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 254.25, ans: 438.31
shelf_width: 100.0, shelf_angle: -19.2, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 664.57, ans: 494.38
shelf_width: 100.0, shelf_angle: -36.8, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 821.27, ans: 341.13
shelf_width: 100.0, shelf_angle: -16.4, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 632.22, ans: 508.82
shelf_width: 100.0, shelf_angle: 21.3, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 206.17, ans: 384.74
shelf_width: 100.0, shelf_angle: 0.1, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 426.94, ans: 526.26
shelf_width: 100.0, shelf_angle: 42.7, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 139.13, ans: 128.61
shelf_width: 100.0, shelf_angle: 25.8, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 176.26, ans: 336.41
shelf_width: 100.0, shelf_angle: 7.9, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 334.06, ans: 493.68
shelf_width: 100.0, shelf_angle: -35.8, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 815.12, ans: 352.17
shelf_width: 100.0, shelf_angle: 14.0, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 269.56, ans: 451.54
shelf_width: 100.0, shelf_angle: 17.1, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 240.58, ans: 425.15
shelf_width: 100.0, shelf_angle: 39.2, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 136.89, ans: 172.58
shelf_width: 100.0, shelf_angle: 3.8, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 381.79, ans: 513.95
shelf_width: 100.0, shelf_angle: -21.1, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 685.65, ans: 482.82
shelf_width: 100.0, shelf_angle: -5.5, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 497.33, ans: 533.65
shelf_width: 100.0, shelf_angle: -2.8, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 463.22, ans: 531.79
shelf_width: 100.0, shelf_angle: 10.7, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 303.35, ans: 476.04
shelf_width: 100.0, shelf_angle: 23.5, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 190.6, ans: 361.7
