shelf_width,shelf_angle,shelf_x,shelf_y,radius,elasticity,ball_x0,ball_y0,t1,ball_x1,ball_y1
100.0,33.2,500.0,450.0,10,0.5,500,800.0,20.0,144.51,248.73
100.0,15.6,500.0,450.0,10,0.5,500,800.0,20.0,254.25,438.31
100.0,-19.2,500.0,450.0,10,0.5,500,800.0,20.0,664.57,494.38
100.0,-36.8,500.0,450.0,10,0.5,500,800.0,20.0,821.27,341.13
100.0,-16.4,500.0,450.0,10,0.5,500,800.0,20.0,632.22,508.82
100.0,21.3,500.0,450.0,10,0.5,500,800.0,20.0,206.17,384.74
100.0,0.1,500.0,450.0,10,0.5,500,800.0,20.0,426.94,526.26
100.0,42.7,500.0,450.0,10,0.5,500,800.0,20.0,139.13,128.61
100.0,25.8,500.0,450.0,10,0.5,500,800.0,20.0,176.26,336.41
100.0,7.9,500.0,450.0,10,0.5,500,800.0,20.0,334.06,493.68
100.0,-35.8,500.0,450.0,10,0.5,500,800.0,20.0,815.12,352.17
100.0,14.0,500.0,450.0,10,0.5,500,800.0,20.0,269.56,451.54
100.0,17.1,500.0,450.0,10,0.5,500,800.0,20.0,240.58,425.15
100.0,39.2,500.0,450.0,10,0.5,500,800.0,20.0,136.89,172.58
100.0,3.8,500.0,450.0,10,0.5,500,800.0,20.0,381.79,513.95
100.0,-21.1,500.0,450.0,10,0.5,500,800.0,20.0,685.65,482.82
100.0,-5.5,500.0,450.0,10,0.5,500,800.0,20.0,497.33,533.65
100.0,-2.8,500.0,450.0,10,0.5,500,800.0,20.0,463.22,531.79
100.0,10.7,500.0,450.0,10,0.5,500,800.0,20.0,303.35,476.04
100.0,23.5,500.0,450.0,10,0.5,500,800.0,20.0,190.6,361.7
