question,answer
"shelf_width: 100.0, shelf_angle: 39.2, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 136.89,",172.58
"shelf_width: 100.0, shelf_angle: 3.8, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 381.79,",513.95
"shelf_width: 100.0, shelf_angle: 33.2, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 144.51,",248.73
"shelf_width: 100.0, shelf_angle: 14.0, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 269.56,",451.54
"shelf_width: 100.0, shelf_angle: -16.4, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 632.22,",508.82
"shelf_width: 100.0, shelf_angle: -36.8, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 821.27,",341.13
"shelf_width: 100.0, shelf_angle: 21.3, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 206.17,",384.74
"shelf_width: 100.0, shelf_angle: 23.5, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 190.6,",361.7
"shelf_width: 100.0, shelf_angle: -5.5, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 497.33,",533.65
"shelf_width: 100.0, shelf_angle: 15.6, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 254.25,",438.31
"shelf_width: 100.0, shelf_angle: 10.7, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 303.35,",476.04
"shelf_width: 100.0, shelf_angle: 17.1, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 240.58,",425.15
"shelf_width: 100.0, shelf_angle: -2.8, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 463.22,",531.79
"shelf_width: 100.0, shelf_angle: 0.1, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 426.94,",526.26
"shelf_width: 100.0, shelf_angle: 25.8, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 176.26,",336.41
"shelf_width: 100.0, shelf_angle: -21.1, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 685.65,",482.82
