shelf_width: 100.0, shelf_angle: 5.8, shelf_x: 500.0, shelf_y: 451.37, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 357.97, ans: 505.77
shelf_width: 100.0, shelf_angle: 13.5, shelf_x: 500.0, shelf_y: 472.91, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 272.06, ans: 462.51
shelf_width: 100.0, shelf_angle: -11.1, shelf_x: 500.0, shelf_y: 414.99, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 566.08, ans: 508.77
shelf_width: 100.0, shelf_angle: -26.9, shelf_x: 500.0, shelf_y: 409.31, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 737.32, ans: 420.51
shelf_width: 100.0, shelf_angle: -22.0, shelf_x: 500.0, shelf_y: 420.75, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 691.34, ans: 463.11
shelf_width: 100.0, shelf_angle: -34.9, shelf_x: 500.0, shelf_y: 440.76, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 807.42, ans: 358.63
shelf_width: 100.0, shelf_angle: 34.5, shelf_x: 500.0, shelf_y: 414.26, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 150.76, ans: 221.45
shelf_width: 100.0, shelf_angle: -26.2, shelf_x: 500.0, shelf_y: 401.47, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 729.34, ans: 422.07
shelf_width: 100.0, shelf_angle: -39.5, shelf_x: 500.0, shelf_y: 402.41, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 823.83, ans: 292.25
shelf_width: 100.0, shelf_angle: 18.2, shelf_x: 500.0, shelf_y: 440.88, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 232.57, ans: 411.52
shelf_width: 100.0, shelf_angle: -13.4, shelf_x: 500.0, shelf_y: 456.88, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 596.51, ans: 523.14
shelf_width: 100.0, shelf_angle: -44.5, shelf_x: 500.0, shelf_y: 401.6, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 842.13, ans: 234.01
shelf_width: 100.0, shelf_angle: 31.5, shelf_x: 500.0, shelf_y: 415.19, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 158.72, ans: 257.78
shelf_width: 100.0, shelf_angle: -37.7, shelf_x: 500.0, shelf_y: 466.8, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 829.42, ans: 335.73
shelf_width: 100.0, shelf_angle: -30.9, shelf_x: 500.0, shelf_y: 499.35, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 785.45, ans: 415.23
shelf_width: 100.0, shelf_angle: -10.0, shelf_x: 500.0, shelf_y: 494.37, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 555.26, ans: 545.03
shelf_width: 100.0, shelf_angle: 25.3, shelf_x: 500.0, shelf_y: 486.17, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 173.25, ans: 351.92
shelf_width: 100.0, shelf_angle: 32.6, shelf_x: 500.0, shelf_y: 442.29, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 148.68, ans: 253.02
shelf_width: 100.0, shelf_angle: 35.7, shelf_x: 500.0, shelf_y: 408.16, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 150.12, ans: 205.04
shelf_width: 100.0, shelf_angle: 36.1, shelf_x: 500.0, shelf_y: 498.27, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 131.23, ans: 220.63
