shelf_width,shelf_angle,shelf_x,shelf_y,radius,elasticity,ball_x0,ball_y0,t1,ball_x1,ball_y1
100.0,5.8,500.0,451.37,10,0.5,500,800.0,20.0,357.97,505.77
100.0,13.5,500.0,472.91,10,0.5,500,800.0,20.0,272.06,462.51
100.0,-11.1,500.0,414.99,10,0.5,500,800.0,20.0,566.08,508.77
100.0,-26.9,500.0,409.31,10,0.5,500,800.0,20.0,737.32,420.51
100.0,-22.0,500.0,420.75,10,0.5,500,800.0,20.0,691.34,463.11
100.0,-34.9,500.0,440.76,10,0.5,500,800.0,20.0,807.42,358.63
100.0,34.5,500.0,414.26,10,0.5,500,800.0,20.0,150.76,221.45
100.0,-26.2,500.0,401.47,10,0.5,500,800.0,20.0,729.34,422.07
100.0,-39.5,500.0,402.41,10,0.5,500,800.0,20.0,823.83,292.25
100.0,18.2,500.0,440.88,10,0.5,500,800.0,20.0,232.57,411.52
100.0,-13.4,500.0,456.88,10,0.5,500,800.0,20.0,596.51,523.14
100.0,-44.5,500.0,401.6,10,0.5,500,800.0,20.0,842.13,234.01
100.0,31.5,500.0,415.19,10,0.5,500,800.0,20.0,158.72,257.78
100.0,-37.7,500.0,466.8,10,0.5,500,800.0,20.0,829.42,335.73
100.0,-30.9,500.0,499.35,10,0.5,500,800.0,20.0,785.45,415.23
100.0,-10.0,500.0,494.37,10,0.5,500,800.0,20.0,555.26,545.03
100.0,25.3,500.0,486.17,10,0.5,500,800.0,20.0,173.25,351.92
100.0,32.6,500.0,442.29,10,0.5,500,800.0,20.0,148.68,253.02
100.0,35.7,500.0,408.16,10,0.5,500,800.0,20.0,150.12,205.04
100.0,36.1,500.0,498.27,10,0.5,500,800.0,20.0,131.23,220.63
