question,answer
"shelf_width: 100.0, shelf_angle: 35.7, shelf_x: 500.0, shelf_y: 408.16, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 150.12,",205.04
"shelf_width: 100.0, shelf_angle: -39.5, shelf_x: 500.0, shelf_y: 402.41, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 823.83,",292.25
"shelf_width: 100.0, shelf_angle: -11.1, shelf_x: 500.0, shelf_y: 414.99, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 566.08,",508.77
"shelf_width: 100.0, shelf_angle: -34.9, shelf_x: 500.0, shelf_y: 440.76, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 807.42,",358.63
"shelf_width: 100.0, shelf_angle: 13.5, shelf_x: 500.0, shelf_y: 472.91, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 272.06,",462.51
"shelf_width: 100.0, shelf_angle: 36.1, shelf_x: 500.0, shelf_y: 498.27, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 131.23,",220.63
"shelf_width: 100.0, shelf_angle: -26.9, shelf_x: 500.0, shelf_y: 409.31, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 737.32,",420.51
"shelf_width: 100.0, shelf_angle: 34.5, shelf_x: 500.0, shelf_y: 414.26, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 150.76,",221.45
"shelf_width: 100.0, shelf_angle: -22.0, shelf_x: 500.0, shelf_y: 420.75, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 691.34,",463.11
"shelf_width: 100.0, shelf_angle: -30.9, shelf_x: 500.0, shelf_y: 499.35, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 785.45,",415.23
"shelf_width: 100.0, shelf_angle: 32.6, shelf_x: 500.0, shelf_y: 442.29, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 148.68,",253.02
"shelf_width: 100.0, shelf_angle: -44.5, shelf_x: 500.0, shelf_y: 401.6, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 842.13,",234.01
"shelf_width: 100.0, shelf_angle: -37.7, shelf_x: 500.0, shelf_y: 466.8, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 829.42,",335.73
"shelf_width: 100.0, shelf_angle: 18.2, shelf_x: 500.0, shelf_y: 440.88, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 232.57,",411.52
"shelf_width: 100.0, shelf_angle: 25.3, shelf_x: 500.0, shelf_y: 486.17, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 173.25,",351.92
"shelf_width: 100.0, shelf_angle: -13.4, shelf_x: 500.0, shelf_y: 456.88, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 596.51,",523.14
