shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 458.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 153.95, ans: 289.72
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 489.35, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 149.66, ans: 295.69
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 482.03, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 150.34, ans: 294.74
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 443.56, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 157.45, ans: 284.86
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 489.07, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 149.75, ans: 295.57
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 430.1, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 160.15, ans: 281.11
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 472.36, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 151.9, ans: 292.57
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 451.14, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 156.06, ans: 286.79
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.05, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 155.44, ans: 287.65
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 401.28, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 168.2, ans: 269.9
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 458.52, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 153.79, ans: 289.95
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 422.05, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 162.63, ans: 277.65
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 465.96, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 152.61, ans: 291.59
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 438.6, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 158.17, ans: 283.85
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 402.39, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 167.86, ans: 270.37
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 403.15, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 167.63, ans: 270.7
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 460.92, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 154.16, ans: 289.43
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 479.27, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 149.77, ans: 295.54
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 458.97, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 153.65, ans: 290.14
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 485.56, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 149.25, ans: 296.26
