shelf_width,shelf_angle,shelf_x,shelf_y,radius,elasticity,ball_x0,ball_y0,t1,ball_x1,ball_y1
100.0,30,500.0,458.0,10,0.5,500,800.0,20.0,153.95,289.72
100.0,30,500.0,489.35,10,0.5,500,800.0,20.0,149.66,295.69
100.0,30,500.0,482.03,10,0.5,500,800.0,20.0,150.34,294.74
100.0,30,500.0,443.56,10,0.5,500,800.0,20.0,157.45,284.86
100.0,30,500.0,489.07,10,0.5,500,800.0,20.0,149.75,295.57
100.0,30,500.0,430.1,10,0.5,500,800.0,20.0,160.15,281.11
100.0,30,500.0,472.36,10,0.5,500,800.0,20.0,151.9,292.57
100.0,30,500.0,451.14,10,0.5,500,800.0,20.0,156.06,286.79
100.0,30,500.0,450.05,10,0.5,500,800.0,20.0,155.44,287.65
100.0,30,500.0,401.28,10,0.5,500,800.0,20.0,168.2,269.9
100.0,30,500.0,458.52,10,0.5,500,800.0,20.0,153.79,289.95
100.0,30,500.0,422.05,10,0.5,500,800.0,20.0,162.63,277.65
100.0,30,500.0,465.96,10,0.5,500,800.0,20.0,152.61,291.59
100.0,30,500.0,438.6,10,0.5,500,800.0,20.0,158.17,283.85
100.0,30,500.0,402.39,10,0.5,500,800.0,20.0,167.86,270.37
100.0,30,500.0,403.15,10,0.5,500,800.0,20.0,167.63,270.7
100.0,30,500.0,460.92,10,0.5,500,800.0,20.0,154.16,289.43
100.0,30,500.0,479.27,10,0.5,500,800.0,20.0,149.77,295.54
100.0,30,500.0,458.97,10,0.5,500,800.0,20.0,153.65,290.14
100.0,30,500.0,485.56,10,0.5,500,800.0,20.0,149.25,296.26
