question,answer
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.05, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 155.44,",287.65
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 438.6, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 158.17,",283.85
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 458.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 153.95,",289.72
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 482.03, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 150.34,",294.74
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 422.05, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 162.63,",277.65
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 443.56, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 157.45,",284.86
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 402.39, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 167.86,",270.37
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 458.52, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 153.79,",289.95
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 489.35, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 149.66,",295.69
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 403.15, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 167.63,",270.7
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 485.56, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 149.25,",296.26
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 401.28, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 168.2,",269.9
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 472.36, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 151.9,",292.57
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 489.07, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 149.75,",295.57
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 465.96, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 152.61,",291.59
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 430.1, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 160.15,",281.11
