shelf_width: 100.0, shelf_angle: -44.2, shelf_x: 500.0, shelf_y: 420.9, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 847.07, ans: 244.83
shelf_width: 100.0, shelf_angle: 29.7, shelf_x: 500.0, shelf_y: 445.77, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 158.01, ans: 289.38
shelf_width: 100.0, shelf_angle: -11.4, shelf_x: 500.0, shelf_y: 434.95, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 570.76, ans: 518.54
shelf_width: 100.0, shelf_angle: -4.8, shelf_x: 500.0, shelf_y: 420.44, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 488.71, ans: 518.35
shelf_width: 100.0, shelf_angle: 24.7, shelf_x: 500.0, shelf_y: 499.57, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 176.22, ans: 359.98
shelf_width: 100.0, shelf_angle: 4.4, shelf_x: 500.0, shelf_y: 498.77, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 371.45, ans: 529.21
shelf_width: 100.0, shelf_angle: -2.3, shelf_x: 500.0, shelf_y: 450.75, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 456.9, ans: 531.59
shelf_width: 100.0, shelf_angle: 4.3, shelf_x: 500.0, shelf_y: 436.31, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 377.05, ans: 504.85
shelf_width: 100.0, shelf_angle: 18.4, shelf_x: 500.0, shelf_y: 484.48, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 224.68, ans: 423.51
shelf_width: 100.0, shelf_angle: 40.5, shelf_x: 500.0, shelf_y: 492.56, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 128.93, ans: 164.05
shelf_width: 100.0, shelf_angle: -31.0, shelf_x: 500.0, shelf_y: 470.14, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 783.82, ans: 409.05
shelf_width: 100.0, shelf_angle: 18.3, shelf_x: 500.0, shelf_y: 422.28, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 235.33, ans: 402.5
shelf_width: 100.0, shelf_angle: -36.5, shelf_x: 500.0, shelf_y: 459.36, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 821.25, ans: 347.47
shelf_width: 100.0, shelf_angle: 38.4, shelf_x: 500.0, shelf_y: 480.93, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 131.08, ans: 188.89
shelf_width: 100.0, shelf_angle: 14.7, shelf_x: 500.0, shelf_y: 410.68, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 269.56, ans: 427.62
shelf_width: 100.0, shelf_angle: -22.9, shelf_x: 500.0, shelf_y: 495.38, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 709.44, ans: 485.36
shelf_width: 100.0, shelf_angle: -23.2, shelf_x: 500.0, shelf_y: 433.08, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 705.73, ans: 461.23
shelf_width: 100.0, shelf_angle: -28.2, shelf_x: 500.0, shelf_y: 471.96, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 759.11, ans: 434.21
shelf_width: 100.0, shelf_angle: -9.9, shelf_x: 500.0, shelf_y: 446.08, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 552.66, ans: 527.26
shelf_width: 100.0, shelf_angle: 35.6, shelf_x: 500.0, shelf_y: 436.54, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 142.68, ans: 214.91
