shelf_width,shelf_angle,shelf_x,shelf_y,radius,elasticity,ball_x0,ball_y0,t1,ball_x1,ball_y1
100.0,-44.2,500.0,420.9,10,0.5,500,800.0,20.0,847.07,244.83
100.0,29.7,500.0,445.77,10,0.5,500,800.0,20.0,158.01,289.38
100.0,-11.4,500.0,434.95,10,0.5,500,800.0,20.0,570.76,518.54
100.0,-4.8,500.0,420.44,10,0.5,500,800.0,20.0,488.71,518.35
100.0,24.7,500.0,499.57,10,0.5,500,800.0,20.0,176.22,359.98
100.0,4.4,500.0,498.77,10,0.5,500,800.0,20.0,371.45,529.21
100.0,-2.3,500.0,450.75,10,0.5,500,800.0,20.0,456.9,531.59
100.0,4.3,500.0,436.31,10,0.5,500,800.0,20.0,377.05,504.85
100.0,18.4,500.0,484.48,10,0.5,500,800.0,20.0,224.68,423.51
100.0,40.5,500.0,492.56,10,0.5,500,800.0,20.0,128.93,164.05
100.0,-31.0,500.0,470.14,10,0.5,500,800.0,20.0,783.82,409.05
100.0,18.3,500.0,422.28,10,0.5,500,800.0,20.0,235.33,402.5
100.0,-36.5,500.0,459.36,10,0.5,500,800.0,20.0,821.25,347.47
100.0,38.4,500.0,480.93,10,0.5,500,800.0,20.0,131.08,188.89
100.0,14.7,500.0,410.68,10,0.5,500,800.0,20.0,269.56,427.62
100.0,-22.9,500.0,495.38,10,0.5,500,800.0,20.0,709.44,485.36
100.0,-23.2,500.0,433.08,10,0.5,500,800.0,20.0,705.73,461.23
100.0,-28.2,500.0,471.96,10,0.5,500,800.0,20.0,759.11,434.21
100.0,-9.9,500.0,446.08,10,0.5,500,800.0,20.0,552.66,527.26
100.0,35.6,500.0,436.54,10,0.5,500,800.0,20.0,142.68,214.91
