question,answer
"shelf_width: 100.0, shelf_angle: -4.8, shelf_x: 500.0, shelf_y: 420.44, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 488.71,",518.35
"shelf_width: 100.0, shelf_angle: -31.0, shelf_x: 500.0, shelf_y: 470.14, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 783.82,",409.05
"shelf_width: 100.0, shelf_angle: 14.7, shelf_x: 500.0, shelf_y: 410.68, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 269.56,",427.62
"shelf_width: 100.0, shelf_angle: 18.3, shelf_x: 500.0, shelf_y: 422.28, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 235.33,",402.5
"shelf_width: 100.0, shelf_angle: 4.4, shelf_x: 500.0, shelf_y: 498.77, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 371.45,",529.21
"shelf_width: 100.0, shelf_angle: -9.9, shelf_x: 500.0, shelf_y: 446.08, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 552.66,",527.26
"shelf_width: 100.0, shelf_angle: -11.4, shelf_x: 500.0, shelf_y: 434.95, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 570.76,",518.54
"shelf_width: 100.0, shelf_angle: 40.5, shelf_x: 500.0, shelf_y: 492.56, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 128.93,",164.05
"shelf_width: 100.0, shelf_angle: 4.3, shelf_x: 500.0, shelf_y: 436.31, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 377.05,",504.85
"shelf_width: 100.0, shelf_angle: 38.4, shelf_x: 500.0, shelf_y: 480.93, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 131.08,",188.89
"shelf_width: 100.0, shelf_angle: -36.5, shelf_x: 500.0, shelf_y: 459.36, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 821.25,",347.47
"shelf_width: 100.0, shelf_angle: 35.6, shelf_x: 500.0, shelf_y: 436.54, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 142.68,",214.91
"shelf_width: 100.0, shelf_angle: 18.4, shelf_x: 500.0, shelf_y: 484.48, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 224.68,",423.51
"shelf_width: 100.0, shelf_angle: 29.7, shelf_x: 500.0, shelf_y: 445.77, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 158.01,",289.38
"shelf_width: 100.0, shelf_angle: -44.2, shelf_x: 500.0, shelf_y: 420.9, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 847.07,",244.83
"shelf_width: 100.0, shelf_angle: 24.7, shelf_x: 500.0, shelf_y: 499.57, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 800.0, t1: 20.0, ball_x1: 176.22,",359.98
