shelf_width,shelf_angle,shelf_x,shelf_y,radius,elasticity,ball_x0,ball_y0,t1,ball_x1,ball_y1
100.0,30,500.0,467.56,10,0.5,500,785.07,20.0,150.2,280.01
100.0,30,500.0,435.33,10,0.5,500,708.61,20.0,145.99,209.41
100.0,30,500.0,425.95,10,0.5,500,750.7,20.0,151.01,244.51
100.0,30,500.0,434.38,10,0.5,500,861.83,20.0,176.97,319.53
100.0,30,500.0,452.46,10,0.5,500,766.27,20.0,149.06,262.8
100.0,30,500.0,495.71,10,0.5,500,867.72,20.0,160.8,347.92
100.0,30,500.0,498.03,10,0.5,500,723.29,20.0,147.6,221.86
100.0,30,500.0,466.24,10,0.5,500,781.7,20.0,149.57,277.52
100.0,30,500.0,495.61,10,0.5,500,720.71,20.0,147.55,219.34
100.0,30,500.0,499.89,10,0.5,500,843.85,20.0,154.56,332.73
100.0,30,500.0,483.21,10,0.5,500,741.25,20.0,146.14,241.84
100.0,30,500.0,421.17,10,0.5,500,750.95,20.0,152.56,242.6
100.0,30,500.0,414.32,10,0.5,500,829.03,20.0,172.92,292.37
100.0,30,500.0,445.81,10,0.5,500,815.65,20.0,160.13,296.78
100.0,30,500.0,428.27,10,0.5,500,707.3,20.0,145.57,208.69
100.0,30,500.0,497.75,10,0.5,500,809.02,20.0,149.85,304.44
100.0,30,500.0,491.37,10,0.5,500,746.39,20.0,145.21,248.27
100.0,30,500.0,454.09,10,0.5,500,732.68,20.0,145.43,234.26
100.0,30,500.0,401.03,10,0.5,500,884.81,20.0,197.29,314.25
100.0,30,500.0,451.37,10,0.5,500,854.17,20.0,169.27,322.58
