question,answer
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 495.71, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 867.72, t1: 20.0, ball_x1: 160.8,",347.92
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 428.27, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 707.3, t1: 20.0, ball_x1: 145.57,",208.69
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 425.95, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 750.7, t1: 20.0, ball_x1: 151.01,",244.51
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 497.75, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 809.02, t1: 20.0, ball_x1: 149.85,",304.44
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 421.17, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 750.95, t1: 20.0, ball_x1: 152.56,",242.6
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 498.03, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 723.29, t1: 20.0, ball_x1: 147.6,",221.86
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 451.37, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 854.17, t1: 20.0, ball_x1: 169.27,",322.58
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 467.56, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 785.07, t1: 20.0, ball_x1: 150.2,",280.01
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 454.09, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 732.68, t1: 20.0, ball_x1: 145.43,",234.26
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 435.33, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 708.61, t1: 20.0, ball_x1: 145.99,",209.41
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 445.81, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 815.65, t1: 20.0, ball_x1: 160.13,",296.78
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 452.46, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 766.27, t1: 20.0, ball_x1: 149.06,",262.8
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 434.38, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 861.83, t1: 20.0, ball_x1: 176.97,",319.53
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 466.24, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 781.7, t1: 20.0, ball_x1: 149.57,",277.52
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 401.03, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 884.81, t1: 20.0, ball_x1: 197.29,",314.25
"shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 499.89, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 843.85, t1: 20.0, ball_x1: 154.56,",332.73
