shelf_width: 100.0, shelf_angle: 26.1, shelf_x: 500.0, shelf_y: 498.38, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 858.56, t1: 20.0, ball_x1: 176.75, ans: 388.03
shelf_width: 100.0, shelf_angle: -11.7, shelf_x: 500.0, shelf_y: 459.42, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 870.06, t1: 20.0, ball_x1: 571.73, ans: 562.04
shelf_width: 100.0, shelf_angle: -38.4, shelf_x: 500.0, shelf_y: 448.79, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 814.77, t1: 20.0, ball_x1: 826.34, ans: 331.63
shelf_width: 100.0, shelf_angle: -34.0, shelf_x: 500.0, shelf_y: 458.65, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 733.8, t1: 20.0, ball_x1: 812.86, ans: 323.44
shelf_width: 100.0, shelf_angle: -14.5, shelf_x: 500.0, shelf_y: 461.25, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 788.9, t1: 20.0, ball_x1: 611.08, ans: 515.64
shelf_width: 100.0, shelf_angle: 26.8, shelf_x: 500.0, shelf_y: 479.96, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 709.75, t1: 20.0, ball_x1: 161.49, ans: 249.22
shelf_width: 100.0, shelf_angle: 43.1, shelf_x: 500.0, shelf_y: 475.89, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 882.85, t1: 20.0, ball_x1: 154.51, ans: 193.53
shelf_width: 100.0, shelf_angle: -4.1, shelf_x: 500.0, shelf_y: 488.48, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 789.96, t1: 20.0, ball_x1: 479.11, ans: 541.24
shelf_width: 100.0, shelf_angle: 25.0, shelf_x: 500.0, shelf_y: 467.26, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 709.4, t1: 20.0, ball_x1: 172.91, ans: 268.38
shelf_width: 100.0, shelf_angle: 43.4, shelf_x: 500.0, shelf_y: 437.11, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 774.19, t1: 20.0, ball_x1: 137.22, ans: 96.66
shelf_width: 100.0, shelf_angle: -21.4, shelf_x: 500.0, shelf_y: 410.21, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 764.58, t1: 20.0, ball_x1: 688.17, ans: 442.81
shelf_width: 100.0, shelf_angle: 0.9, shelf_x: 500.0, shelf_y: 490.11, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 745.74, t1: 20.0, ball_x1: 414.62, ans: 490.78
shelf_width: 100.0, shelf_angle: 6.3, shelf_x: 500.0, shelf_y: 466.36, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 871.08, t1: 20.0, ball_x1: 358.53, ans: 544.4
shelf_width: 100.0, shelf_angle: 10.8, shelf_x: 500.0, shelf_y: 474.87, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 801.48, t1: 20.0, ball_x1: 300.06, ans: 484.35
shelf_width: 100.0, shelf_angle: -22.5, shelf_x: 500.0, shelf_y: 478.68, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 727.58, t1: 20.0, ball_x1: 706.2, ans: 419.34
shelf_width: 100.0, shelf_angle: -4.3, shelf_x: 500.0, shelf_y: 467.27, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 780.4, t1: 20.0, ball_x1: 481.81, ans: 527.56
shelf_width: 100.0, shelf_angle: 43.6, shelf_x: 500.0, shelf_y: 431.83, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 817.54, t1: 20.0, ball_x1: 149.02, ans: 127.65
shelf_width: 100.0, shelf_angle: 18.0, shelf_x: 500.0, shelf_y: 415.74, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 748.99, t1: 20.0, ball_x1: 230.31, ans: 371.39
shelf_width: 100.0, shelf_angle: 15.6, shelf_x: 500.0, shelf_y: 443.56, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 818.72, t1: 20.0, ball_x1: 258.76, ans: 445.48
shelf_width: 100.0, shelf_angle: -11.7, shelf_x: 500.0, shelf_y: 458.34, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 869.92, t1: 20.0, ball_x1: 571.66, ans: 561.3
