question,answer
"shelf_width: 100.0, shelf_angle: -21.4, shelf_x: 500.0, shelf_y: 410.21, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 764.58, t1: 20.0, ball_x1: 688.17,",442.81
"shelf_width: 100.0, shelf_angle: 10.8, shelf_x: 500.0, shelf_y: 474.87, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 801.48, t1: 20.0, ball_x1: 300.06,",484.35
"shelf_width: 100.0, shelf_angle: 18.0, shelf_x: 500.0, shelf_y: 415.74, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 748.99, t1: 20.0, ball_x1: 230.31,",371.39
"shelf_width: 100.0, shelf_angle: 0.9, shelf_x: 500.0, shelf_y: 490.11, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 745.74, t1: 20.0, ball_x1: 414.62,",490.78
"shelf_width: 100.0, shelf_angle: -22.5, shelf_x: 500.0, shelf_y: 478.68, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 727.58, t1: 20.0, ball_x1: 706.2,",419.34
"shelf_width: 100.0, shelf_angle: 26.8, shelf_x: 500.0, shelf_y: 479.96, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 709.75, t1: 20.0, ball_x1: 161.49,",249.22
"shelf_width: 100.0, shelf_angle: 43.4, shelf_x: 500.0, shelf_y: 437.11, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 774.19, t1: 20.0, ball_x1: 137.22,",96.66
"shelf_width: 100.0, shelf_angle: 15.6, shelf_x: 500.0, shelf_y: 443.56, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 818.72, t1: 20.0, ball_x1: 258.76,",445.48
"shelf_width: 100.0, shelf_angle: 25.0, shelf_x: 500.0, shelf_y: 467.26, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 709.4, t1: 20.0, ball_x1: 172.91,",268.38
"shelf_width: 100.0, shelf_angle: -11.7, shelf_x: 500.0, shelf_y: 458.34, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 869.92, t1: 20.0, ball_x1: 571.66,",561.3
"shelf_width: 100.0, shelf_angle: -4.1, shelf_x: 500.0, shelf_y: 488.48, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 789.96, t1: 20.0, ball_x1: 479.11,",541.24
"shelf_width: 100.0, shelf_angle: -4.3, shelf_x: 500.0, shelf_y: 467.27, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 780.4, t1: 20.0, ball_x1: 481.81,",527.56
"shelf_width: 100.0, shelf_angle: -11.7, shelf_x: 500.0, shelf_y: 459.42, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 870.06, t1: 20.0, ball_x1: 571.73,",562.04
"shelf_width: 100.0, shelf_angle: -14.5, shelf_x: 500.0, shelf_y: 461.25, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 788.9, t1: 20.0, ball_x1: 611.08,",515.64
"shelf_width: 100.0, shelf_angle: 26.1, shelf_x: 500.0, shelf_y: 498.38, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 858.56, t1: 20.0, ball_x1: 176.75,",388.03
"shelf_width: 100.0, shelf_angle: 43.6, shelf_x: 500.0, shelf_y: 431.83, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 817.54, t1: 20.0, ball_x1: 149.02,",127.65
